time,1,3,5,10,13,20,25,28,35,40,45,48,60,80,83,100,120,123,140,160,180,200,250,300,500
02/22,25.895697,27.585,25.620712,25.87072,25.919998,25.46223,25.557585,24.630001,25.86,25.146692,25.18502,24.896,24.926138,23.217167,23.363333,21.030287,18.232481,17.615,16.608063,,13.744113,13.135,11.97,11.582189,8.038689
02/23,25.9107,27.380001,25.787724,25.878197,25.986666,25.506922,25.578087,24.7625,25.84,25.122107,25.181065,24.992,24.904005,23.266571,23.723333,21.19091,18.309841,17.28,16.513031,,13.663168,13.22625,12.15,11.612026,8.056966
02/24,25.921236,27.345001,25.828762,25.882963,26.046667,25.504284,25.563953,24.83,25.75,25.116257,25.207388,25.006,24.87427,23.343973,23.893333,21.209877,18.292953,17.4775,16.282227,,13.751782,13.0875,12.12,11.58953,7.9918327
02/25,25.926994,27.43,25.715328,25.881735,26.156668,25.509182,25.56262,24.8925,25.73,25.11756,25.230816,25.044,24.877426,23.404184,23.556665,21.079897,18.343374,17.415,16.34601,,13.754132,13.19625,11.78,11.599834,7.988954
02/26,25.904472,27.52,25.831741,25.84429,26.083334,25.44247,25.526701,24.9025,25.65,25.169987,25.185997,24.932001,24.945715,23.208754,23.293333,20.858036,18.22691,16.744999,16.459114,,13.798518,13.19375,11.63,11.558079,8.040591
02/27,25.895842,27.455,25.702372,25.718435,26.176666,25.294153,25.410526,24.967499,25.43,25.063158,25.003447,24.939999,24.862366,23.148626,23.566666,21.042263,18.323895,16.5575,16.592222,,13.917469,13.18,11.69,11.660834,8.053356
02/28,26.001564,27.470001,25.839859,25.83065,26.206667,25.426735,25.49705,24.9725,25.33,25.194365,25.06221,25.060001,24.775253,22.917063,22.853333,20.852304,18.199812,16.4975,16.45585,,13.887596,13.06875,11.97,11.6319475,8.07517
02/29,26.436808,28.32,25.997593,26.145693,,25.782166,25.535706,,,25.164341,25.30398,,24.498404,22.705988,,19.952137,16.977001,15.82,15.405888,,13.53447,13.41,,11.281931,7.963205
03/01,25.96893,27.345001,25.845821,25.854603,26.203333,25.432556,25.503124,24.875,25.23,25.102083,24.95237,25.076,24.618124,22.747084,22.883333,20.681477,18.211218,16.48,16.48508,,13.961395,13.07625,12.06,11.538703,8.104207
03/02,26.003744,27.2,25.856735,25.841488,26.160002,25.441284,25.487991,24.7775,25.36,25.120878,24.937044,24.974,24.677351,22.86727,23.216665,20.685677,18.182085,17.355,16.49588,,13.90563,13.075,11.92,11.60263,8.142962
